games: 15, white: 53%, black: 26%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. O-O Nbd7 7. c4 c6 8. d4 b6 
games: 53, white: 49%, black: 22%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 b6 4. c4 Bb7 5. e3 d5 6. cxd5 exd5 7. Nc3 Nbd7 8. Rc1 a6 
games: 53, white: 49%, black: 22%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 b6 5. e3 Bb7 6. cxd5 exd5 7. Nc3 Nbd7 8. Rc1 a6 
games: 352, white: 47%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 Be7 5. Bg2 O-O 6. c4 c6 7. O-O Nbd7 
games: 352, white: 47%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. g3 O-O 6. Bg2 c6 7. O-O Nbd7 
games: 352, white: 47%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. g3 Be7 6. Bg2 O-O 7. O-O Nbd7 
games: 144, white: 44%, black: 17%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 
games: 29, white: 44%, black: 17%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. e3 O-O 6. Nc3 b6 7. g3
games: 29, white: 44%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O a5 8. d3 Nbd7 
games: 29, white: 44%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O a5 8. d3 Nbd7 
games: 34, white: 41%, black: 14%, pgn:1. b3 e5 2. Bb2 Nc6 3. c4 g6 4. g3 Bg7 5. Bg2 d6 6. Nc3 f5 7. e3 Nf6 8. Nge2
games: 95, white: 40%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c5 7. c4 Ne4 8. O-O
games: 95, white: 40%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. c4 c5 7. d4 Ne4 8. O-O
games: 95, white: 40%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 c5 6. c4 d6 7. d4 Ne4 8. O-O
games: 95, white: 40%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 O-O 6. Nf3 d6 7. d4 Ne4 8. O-O
games: 23, white: 56%, black: 30%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 b6 4. c4 Bb7 5. e3 d5 6. cxd5 exd5 7. Nc3
games: 23, white: 56%, black: 30%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 b6 5. e3 Bb7 6. cxd5 exd5 7. Nc3
