games: 187, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. cxd4 d6 7. Bc4 e6 8. Qe2 Be7 9. O-O O-O 10. Re1, forced: 1
games: 74, white: 44%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 Qc7 8. O-O Nxe5 , forced: 3
games: 74, white: 44%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 Qc7 8. O-O Nxe5 9. Nxe5, forced: 4
games: 74, white: 44%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 Qc7 8. O-O Nxe5 9. Nxe5 Qxe5 , forced: 4
games: 187, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. Bc4 e6 7. cxd4 d6 8. O-O Be7 9. Qe2 O-O 10. Re1, forced: 1
games: 606, white: 32%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Bd7 6. Be2 Nge7 7. O-O, forced: 0
games: 198, white: 39%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 Nh6 7. b4 cxd4 8. Bxh6 gxh6 , forced: 1
games: 73, white: 50%, black: 17%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 6. dxc5 Qxc5 7. Na3, forced: 1
games: 187, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. Bc4 e6 7. cxd4 d6 8. Qe2 Be7 9. O-O O-O 10. Re1, forced: 1
games: 983, white: 34%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 6. Be2, forced: 1
games: 225, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Na3 cxd4 7. cxd4, forced: 1
games: 862, white: 33%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Bd7 6. Be2 Nge7 7. Na3, forced: 0
games: 3344, white: 33%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3, forced: 0
games: 173, white: 39%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e6 6. Be3, forced: 1
games: 199, white: 35%, black: 21%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Bd3, forced: 0
games: 154, white: 42%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 c4 7. Nbd2 f6 , forced: 0
games: 348, white: 34%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 6. Be3, forced: 1
games: 269, white: 41%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. cxd4 e6 7. a3 d6 8. Bd3, forced: 1
