games: 24, white: 50%, black: 16%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O h5 9. h3 Bc5 10. Nxc6
games: 102, white: 33%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 Nd4 7. Qd2
games: 30, white: 36%, black: 23%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 O-O 9. O-O b6 10. Rb1
games: 1476, white: 30%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 
games: 30, white: 26%, black: 16%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 Nd4 9. O-O O-O 10. e5 Bd7 11. Ne4 Nef5 12. Bf2 Nxf3+ 13. Bxf3 Bc6 14. c3
games: 51, white: 33%, black: 27%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 Nd4 7. Qd2 Ne7 8. Nd1
games: 30, white: 26%, black: 16%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 O-O 9. O-O Nd4 10. e5 Bd7 11. Ne4 Nef5 12. Bf2 Nxf3+ 13. Bxf3 Bc6 14. c3
games: 407, white: 30%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3
games: 194, white: 28%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 Nd4 
games: 71, white: 32%, black: 30%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Be3
games: 301, white: 30%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 
games: 71, white: 32%, black: 30%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Be3
games: 754, white: 28%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 
games: 177, white: 27%, black: 30%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 Nd4 9. O-O O-O 10. Rb1
games: 732, white: 28%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2
games: 216, white: 31%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4
games: 177, white: 27%, black: 30%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 O-O 9. O-O Nd4 10. Rb1
games: 35, white: 31%, black: 25%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Nxc6 bxc6 10. Na4 Bb7 
games: 57, white: 33%, black: 31%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 O-O 9. O-O Rb8 10. Bf2 Nd4 
games: 35, white: 31%, black: 25%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Nxc6 bxc6 10. Na4 Bb7 
games: 228, white: 28%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4 Be7 
games: 1743, white: 24%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 O-O 9. O-O
games: 27, white: 33%, black: 25%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O Bc5 9. Nxc6 dxc6 10. Na4 Ba7 11. c4 b5 
games: 64, white: 29%, black: 28%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. Nb3
games: 228, white: 28%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4 Be7 
games: 27, white: 33%, black: 25%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O Bc5 9. Nxc6 dxc6 10. Na4 Ba7 11. c4 b5 
games: 64, white: 29%, black: 28%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. Nb3
games: 31, white: 38%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 Nd4 7. Qd2 Qa5 
games: 36, white: 30%, black: 25%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. Nh3 Nge7 
games: 67, white: 35%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. f4
games: 184, white: 25%, black: 30%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 d5 
games: 92, white: 33%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4
games: 92, white: 33%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4
games: 165, white: 25%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 d5 5. exd5
games: 165, white: 25%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 d5 5. exd5 exd5 
games: 80, white: 35%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4 Be7 10. Nb3 b6 11. f4
games: 22, white: 36%, black: 27%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O Bc5 9. Nxc6 dxc6 10. Na4 Ba7 11. c4 b5 12. e5
games: 80, white: 35%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4 Be7 10. Nb3 b6 11. f4
games: 22, white: 36%, black: 27%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O Bc5 9. Nxc6 dxc6 10. Na4 Ba7 11. c4 b5 12. e5
games: 101, white: 32%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4 Be7 10. Nb3 b6 
games: 16, white: 43%, black: 25%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 Nd4 7. Nge2 Ne7 8. O-O O-O 9. Rb1
games: 23, white: 34%, black: 26%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O Bc5 9. Nxc6 dxc6 10. Na4 Ba7 11. c4 b5 12. e5 Nd7 
games: 171, white: 25%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Be3 Be7 
games: 101, white: 32%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4 Be7 10. Nb3 b6 
games: 23, white: 34%, black: 26%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O Bc5 9. Nxc6 dxc6 10. Na4 Ba7 11. c4 b5 12. e5 Nd7 
games: 171, white: 25%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Be3 Be7 
games: 370, white: 27%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 
games: 34, white: 35%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 
games: 48, white: 33%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O h5 9. h3 Bc5 
games: 15, white: 40%, black: 26%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 Nd4 9. O-O O-O 10. e5 Bd7 11. Ne4 Nef5 12. Bf2 Bc6 13. c3
games: 31, white: 32%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Nxc6 bxc6 10. Na4 Bb7 11. c4
games: 48, white: 33%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O h5 9. h3 Bc5 
games: 15, white: 40%, black: 26%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 O-O 9. O-O Nd4 10. e5 Bd7 11. Ne4 Nef5 12. Bf2 Bc6 13. c3
games: 122, white: 23%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 d5 5. exd5 exd5 6. Bg2
games: 15, white: 40%, black: 26%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 Nd4 9. O-O O-O 10. e5 Bd7 11. Ne4 Nef5 12. Bf2 Bc6 13. c3 Nxf3+ 
games: 31, white: 32%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Nxc6 bxc6 10. Na4 Bb7 11. c4
