games: 651, white: 35%, black: 22%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. c3 O-O 6. d4, forced: 4
games: 324, white: 32%, black: 17%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4 Bd7 6. Nc3 exd4 7. Nxd4 Be7 , forced: 4
games: 275, white: 38%, black: 23%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 Be7 6. O-O b5 7. Bb3 O-O 8. c3 d6 9. Rd1 Na5 , forced: 4
games: 1183, white: 33%, black: 22%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. O-O Be7 6. c3 a6 7. Ba4 O-O , forced: 3
games: 275, white: 38%, black: 23%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 Be7 6. O-O b5 7. Bb3 d6 8. c3 O-O 9. Rd1 Na5 , forced: 4
games: 433, white: 27%, black: 13%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 Nd6 6. Bxc6 dxc6 7. dxe5 Nf5 8. Qxd8+ Kxd8 9. Nc3 Ne7 10. h3, forced: 8
games: 275, white: 38%, black: 23%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 b5 6. Bb3 Be7 7. O-O O-O 8. c3 d6 9. Rd1 Na5 10. Bc2, forced: 4
games: 1183, white: 33%, black: 22%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. c3 Be7 6. O-O a6 7. Ba4 O-O , forced: 3
games: 162, white: 37%, black: 19%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 a6 6. Ba4 Be7 7. Re1, forced: 3
games: 275, white: 38%, black: 23%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 b5 6. Bb3 Be7 7. O-O d6 8. c3 O-O 9. Rd1 Na5 10. Bc2, forced: 4
games: 275, white: 38%, black: 23%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 Be7 6. O-O b5 7. Bb3 O-O 8. c3 d6 9. Rd1 Na5 10. Bc2, forced: 5
games: 9380, white: 25%, black: 15%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3, forced: 0
games: 87, white: 40%, black: 17%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. Nxe5 Nxe5 6. d4 a6 7. Be2, forced: 2
games: 275, white: 38%, black: 23%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 Be7 6. O-O b5 7. Bb3 d6 8. c3 O-O 9. Rd1 Na5 10. Bc2, forced: 5
games: 1059, white: 20%, black: 9%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 Nd6 6. Bxc6 dxc6 7. dxe5 Nf5 8. Qxd8+ Kxd8 9. h3, forced: 8
