white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Bg7 6. d4 Nc6 7. Bb5 h6 
white: 16%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Bg7 6. d4 Nc6 7. Bc4 h6 8. O-O g4 9. Bxf4 gxf3 10. Bxf7+ Kxf7 11. Qxf3 Nf6 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Nc6 6. d4 Bg7 7. Bb5 h6 
white: 16%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Nc6 6. d4 Bg7 7. Bc4 h6 8. O-O g4 9. Bxf4 gxf3 10. Bxf7+ Kxf7 11. Qxf3 Nf6 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Nc6 6. Bb5 Bg7 7. d4 h6 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Nc6 6. Bc4 g4 7. Nh4 Bg7 8. d4 f3 9. Be3 Nf6 10. Qd2
white: 25%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Nc6 6. Bc4 g4 7. Nh4 Bg7 8. d4 f3 9. Be3 Nf6 10. Qd2 Qe7 11. O-O-O
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 g4 7. Nh4 f3 8. Be3 Bg7 9. Qd2 Ne7 10. h3 h5 11. O-O-O Nbc6 12. Bg5 f6 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 g4 7. Nh4 f3 8. Be3 Ne7 9. Qd2 Bg7 10. h3 h5 11. O-O-O Nbc6 12. Bg5 f6 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Qe7 11. O-O-O O-O-O 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Qe7 11. Nd5
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Bg2 Bg4 9. Be3 Nc6 10. Qd2 Qe7 11. O-O-O O-O-O 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Bg2 Bg4 9. Be3 Nc6 10. Qd2 Qe7 11. Nd5
white: 16%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 Bg7 7. g3 Nc6 8. O-O g4 9. Bxf4 gxf3 10. Bxf7+ Kxf7 11. Qxf3 Nf6 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 Nf6 6. Bxf4 Nc6 7. Bb5 a6 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 Nc6 6. Bxf4 Nf6 7. Bb5 a6 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 Nc6 6. Bb5 g5 7. d5 a6 8. dxc6 axb5 
white: 16%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 Nc6 6. Bb5 g5 7. O-O a6 
white: 16%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. Bc4 Nc6 7. O-O Be7 8. d4
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. Bc4 Nc6 7. O-O Be7 8. d4 Bg4 
