games: 3551, white: 45%, black: 47%, pgn:1. b3 c5 2. Bb2 d6 3. Nf3 e5 
games: 3551, white: 45%, black: 47%, pgn:1. b3 c5 2. Nf3 d6 3. Bb2 e5 
games: 2566, white: 45%, black: 48%, pgn:1. b3 e5 2. Bb2 d5 3. e3 Nd7 
games: 5794, white: 47%, black: 46%, pgn:1. b3 e6 2. e3 d5 
games: 2566, white: 45%, black: 48%, pgn:1. b3 e5 2. e3 d5 3. Bb2 Nd7 
games: 10838, white: 47%, black: 44%, pgn:1. b3 Nf6 2. Bb2 e6 3. c4
games: 5178, white: 45%, black: 45%, pgn:1. b3 Nf6 2. Bb2 e6 3. e3 b6 
games: 1472, white: 42%, black: 49%, pgn:1. b3 d5 2. Nf3 Bg4 3. Ne5
games: 2566, white: 45%, black: 48%, pgn:1. b3 d5 2. e3 e5 3. Bb2 Nd7 
games: 10838, white: 47%, black: 44%, pgn:1. b3 e6 2. Bb2 Nf6 3. c4
games: 5178, white: 45%, black: 45%, pgn:1. b3 e6 2. Bb2 Nf6 3. e3 b6 
games: 5178, white: 45%, black: 45%, pgn:1. b3 e6 2. Bb2 b6 3. e3 Nf6 
games: 5178, white: 45%, black: 45%, pgn:1. b3 e6 2. e3 b6 3. Bb2 Nf6 
games: 20655, white: 47%, black: 43%, pgn:1. b3 d5 2. e3 Nf6 3. Nf3
games: 5178, white: 45%, black: 45%, pgn:1. b3 e6 2. e3 Nf6 3. Bb2 b6 
games: 20655, white: 47%, black: 43%, pgn:1. b3 d5 2. Nf3 Nf6 3. e3
games: 20655, white: 47%, black: 43%, pgn:1. b3 Nf6 2. e3 d5 3. Nf3
games: 9132, white: 48%, black: 45%, pgn:1. b3 e5 2. Bb2 d5 3. e3 f6 
games: 20655, white: 47%, black: 43%, pgn:1. b3 Nf6 2. Nf3 d5 3. e3
games: 9132, white: 48%, black: 45%, pgn:1. b3 e5 2. e3 d5 3. Bb2 f6 
games: 12386, white: 48%, black: 44%, pgn:1. b3 c5 2. c4
games: 9747, white: 47%, black: 44%, pgn:1. b3 e5 2. Bb2 d6 3. g3
games: 9747, white: 47%, black: 44%, pgn:1. b3 e5 2. g3 d6 3. Bb2
games: 3148, white: 44%, black: 46%, pgn:1. b3 d5 2. e3 Nf6 3. Nf3 Bf5 
games: 1296, white: 43%, black: 50%, pgn:1. b3 e5 2. g3 d5 
games: 9132, white: 48%, black: 45%, pgn:1. b3 d5 2. e3 e5 3. Bb2 f6 
games: 3148, white: 44%, black: 46%, pgn:1. b3 d5 2. e3 Bf5 3. Nf3 Nf6 
games: 1296, white: 43%, black: 50%, pgn:1. b3 d5 2. g3 e5 
games: 3148, white: 44%, black: 46%, pgn:1. b3 d5 2. Nf3 Nf6 3. e3 Bf5 
games: 8313, white: 46%, black: 44%, pgn:1. b3 d5 2. Bb2 Bg4 3. Nf3 Nf6 
games: 3148, white: 44%, black: 46%, pgn:1. b3 Nf6 2. e3 d5 3. Nf3 Bf5 
games: 3428, white: 46%, black: 47%, pgn:1. b3 e5 2. Bb2 e4 
games: 27950, white: 48%, black: 43%, pgn:1. b3 d5 2. e3 Nf6 3. Bb2 c5 
games: 27231, white: 48%, black: 43%, pgn:1. b3 e5 2. Bb2 d6 3. e3 Nf6 
games: 3148, white: 44%, black: 46%, pgn:1. b3 Nf6 2. Nf3 d5 3. e3 Bf5 
games: 27950, white: 48%, black: 43%, pgn:1. b3 d5 2. e3 c5 3. Bb2 Nf6 
games: 8313, white: 46%, black: 44%, pgn:1. b3 d5 2. Nf3 Bg4 3. Bb2 Nf6 
games: 27231, white: 48%, black: 43%, pgn:1. b3 e5 2. e3 Nf6 3. Bb2 d6 
games: 151499, white: 48%, black: 42%, pgn:1. b3 d5 2. Nf3
games: 27231, white: 48%, black: 43%, pgn:1. b3 e5 2. e3 d6 3. Bb2 Nf6 
games: 15331, white: 48%, black: 44%, pgn:1. b3 c5 2. Nf3 e6 3. e4 a6 
