games: 1752, white: 44%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. a3 c4 
games: 4589, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nec6 6. Bd3
games: 42501, white: 47%, black: 45%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Nf3 Nc6 6. Be2
games: 4589, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Bd3 Nec6 6. Nf3
games: 1217, white: 40%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 a6 5. exd5
games: 4275, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Bd3 Nc6 
games: 845, white: 41%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Bd3 Nc6 5. e5 cxd4 6. cxd4
games: 591, white: 37%, black: 56%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 a6 5. Nxd4 Qc7 6. Be3
games: 7970, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Bd3
games: 845, white: 41%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Bd3 cxd4 5. cxd4 Nc6 6. e5
games: 591, white: 37%, black: 56%, pgn:1. e4 c5 2. c3 e6 3. d4 a6 4. Nf3 cxd4 5. Nxd4 Qc7 6. Be3
games: 845, white: 41%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 d5 5. Bd3 Nc6 6. e5
games: 16243, white: 45%, black: 44%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 Nf6 6. Be3
games: 977, white: 40%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Bd3 dxe4 5. Bxe4
games: 1299, white: 42%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 Nc6 5. exd5 exd5 
games: 2018, white: 44%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 d6 6. O-O
games: 2018, white: 44%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nf3 d6 6. O-O
games: 1319, white: 44%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. a3 Nge7 
