games: 1522, white: 42%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. Nge2 Nf6 6. d3 b5 
games: 1032, white: 41%, black: 52%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 Nc6 
games: 1032, white: 41%, black: 52%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. d4 Nc6 
games: 1375, white: 41%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. g3 Nf6 5. d4 Bg4 6. Nf3 Nc6 
games: 1375, white: 41%, black: 51%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. g3 Nf6 5. d4 Nc6 6. Nf3 Bg4 
games: 493, white: 34%, black: 56%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 a6 6. a4 Nc6 
games: 493, white: 34%, black: 56%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 a6 5. Bc4 Nf6 6. a4 Nc6 
games: 4459, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Bg4 5. Be2
games: 493, white: 34%, black: 56%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. d4 a6 6. a4 Nc6 
games: 1213, white: 41%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 a6 6. a4
games: 7415, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 c6 
games: 493, white: 34%, black: 56%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. d4 Nf6 6. a4 Nc6 
