games: 30, white: 46%, black: 46%, forced: 5, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Be2 O-O 9. O-O Bg4 10. Nb5 Bb8 
games: 22, white: 40%, black: 45%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 Nxd5 7. Nxd5 Qxd5 8. Bxf4 Be7 
games: 15, white: 40%, black: 53%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Be2 Nge7 8. O-O
games: 15, white: 40%, black: 53%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bc4 O-O 8. O-O cxd5 9. Nxd5
games: 15, white: 40%, black: 53%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. d4 O-O 8. O-O cxd5 9. Nxd5
games: 12, white: 25%, black: 75%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 cxd5 5. fxe5 Nc6 6. Nf3 Bg4 7. Bb5 Bc5 8. d4 Bxf3 
games: 58, white: 55%, black: 43%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 cxd5 7. Bd3
games: 62, white: 53%, black: 40%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 O-O 
games: 58, white: 55%, black: 43%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 6. d4 Bd6 7. Bd3
games: 65, white: 56%, black: 40%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 7. Bd3 Bd6 
