games: 71, white: 69%, black: 28%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Bd3 f5 8. Bxe4
games: 181, white: 58%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Bc5 6. Nc3 Nf6 7. Qe2+ Be7 
games: 71, white: 69%, black: 28%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nf3 Nxe4 7. Bd3 f5 8. Bxe4
games: 340, white: 54%, black: 38%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Qxd5 6. Nd2
games: 340, white: 54%, black: 38%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Qe2 Nf6 6. Nd2
games: 629, white: 52%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 f5 5. Nc3 Nf6 6. dxe4 fxe4 
games: 1793, white: 51%, black: 43%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. Nc3 Nf6 5. d4 exd3 
games: 1300, white: 51%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Qxd3 Nf6 6. Nc3
games: 314, white: 54%, black: 38%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Qxd5 
games: 314, white: 54%, black: 38%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Qxd5 
games: 1300, white: 51%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. Nc3 Nf6 5. d4 exd3 6. Qxd3
games: 1300, white: 51%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Qxd3 Nf6 6. Nc3
games: 659, white: 51%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Qxd5 6. Nc3
games: 88, white: 61%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nd2 exd3 
games: 659, white: 51%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Qe2 Nf6 6. Nc3
games: 1487, white: 51%, black: 43%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Qe2
games: 2794, white: 50%, black: 43%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3
games: 2794, white: 50%, black: 43%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3
games: 105, white: 58%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Qxd5 6. Nd2 Bf5 7. dxe4
games: 87, white: 60%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nd2 exd3 6. Bxd3
games: 105, white: 58%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Bf5 6. Nd2 Qxd5 7. dxe4
games: 105, white: 58%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Qe2 Nf6 6. Nd2 Bf5 7. dxe4
games: 2087, white: 50%, black: 43%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Be3
games: 115, white: 59%, black: 36%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bg4 7. Bd3
games: 302, white: 55%, black: 41%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nc3 O-O 
games: 80, white: 61%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Be7 7. Bd3
games: 69, white: 60%, black: 26%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Qe2 Bf5 7. Nd2
games: 87, white: 59%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Bd3 Qe7 8. Qe2
games: 69, white: 60%, black: 26%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Bf5 6. dxe4 Nxe4 7. Nd2
games: 87, white: 59%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nf3 Nxe4 7. Bd3 Qe7 8. Qe2
games: 492, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 f5 5. Nc3 Nf6 
games: 118, white: 56%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Qe2
games: 118, white: 56%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Bc5 6. dxe4
games: 235, white: 54%, black: 39%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Be7 
games: 70, white: 62%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Bc5 6. Nc3
games: 1057, white: 50%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Qxd5 6. Nc3 Bb4 7. Bd2 Bxc3 8. Bxc3
games: 1057, white: 50%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nc3 Bb4 6. Bd2 Bxc3 7. Bxc3 Nf6 8. Qe2
games: 1057, white: 50%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Qe2 Nf6 6. Nc3 Bb4 7. Bd2 Bxc3 8. Bxc3
games: 347, white: 53%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bg4 
games: 176, white: 56%, black: 38%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bd6 7. Bd3
games: 2136, white: 49%, black: 43%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 
games: 2136, white: 49%, black: 43%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Nf6 
games: 111, white: 56%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Qe2 O-O 
games: 187, white: 55%, black: 38%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 f5 5. Nc3 Nf6 6. dxe4 fxe4 7. Be3
games: 63, white: 65%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 e3 5. Bxe3 Nf6 6. Nc3 Bb4 7. Nf3
games: 111, white: 56%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Bc5 6. dxe4 O-O 
games: 63, white: 65%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 e3 5. Nc3 Nf6 6. Bxe3 Bb4 7. Nf3
