games: 15, white: 53%, black: 46%, forced: 1, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3 d5 7. e5 Nd7 
games: 15, white: 53%, black: 46%, forced: 1, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. f4 d5 7. e5 Nd7 
games: 12, white: 50%, black: 41%, forced: 1, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Bf4 b5 7. O-O-O Qa5 8. Kb1
games: 35, white: 42%, black: 51%, forced: 0, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. f4 d6 
games: 27, white: 48%, black: 51%, forced: 0, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. f4 d5 
games: 13, white: 53%, black: 46%, forced: 2, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3 d5 7. e5 Nd7 8. Bf4
games: 20, white: 45%, black: 50%, forced: 2, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. O-O-O d4 8. Nb5 e5 9. Bxe5
games: 20, white: 45%, black: 50%, forced: 3, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. O-O-O d4 8. Nb5 e5 9. Bxe5 Nxe5 
games: 20, white: 45%, black: 50%, forced: 4, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. O-O-O d4 8. Nb5 e5 9. Bxe5 Nxe5 10. Qg3
games: 13, white: 46%, black: 38%, forced: 0, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. a3
