games: 625, white: 54%, black: 38%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nc3 Nbd7 
games: 4629, white: 49%, black: 42%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nc3 Bg7 6. Be3
games: 4629, white: 49%, black: 42%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Be3 Bg7 6. Nc3
games: 9477, white: 49%, black: 44%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 a6 
games: 918, white: 53%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 e5 6. d5
games: 9947, white: 49%, black: 44%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 a6 6. Bc4
games: 1530, white: 51%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 g6 5. Bd3 Bg7 
games: 23092, white: 48%, black: 45%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 e6 
games: 13415, white: 48%, black: 44%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Bxd3 Nf6 
games: 9947, white: 49%, black: 44%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 a6 6. Nxc3
games: 1530, white: 51%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Bd3 g6 5. Nf3 Bg7 
games: 30256, white: 48%, black: 45%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 e6 6. Bc4
games: 382, white: 56%, black: 36%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nc3 e5 
games: 1351, white: 51%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Bxd3 a6 6. O-O
games: 30256, white: 48%, black: 45%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 e6 6. Nxc3
games: 269, white: 59%, black: 33%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. Qxd4
games: 360, white: 56%, black: 36%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nf3 Nc6 6. Bd3
games: 360, white: 56%, black: 36%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 e6 6. Bd3
games: 3607, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Bxd3 Nc6 6. h3
games: 392, white: 56%, black: 37%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. dxc5 Nc6 5. Qc2
games: 3607, white: 49%, black: 42%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. h3 Nc6 6. Bxd3
games: 779, white: 53%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. d5 Nb8 6. Nc3
games: 1265, white: 51%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. d5 Nb8 
games: 25241, white: 47%, black: 44%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Bxd3 Nc6 
games: 3885, white: 49%, black: 43%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 a6 
games: 1873, white: 50%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Bxd3 Nf6 6. c4
games: 591, white: 53%, black: 38%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. dxe5 dxe5 6. Nf3
games: 574, white: 54%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 e6 5. Bd3 a6 6. O-O
games: 752, white: 53%, black: 41%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 e6 5. Bd3 Ngf6 
