games: 1292, white: 46%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Bg4 5. f3
games: 437, white: 45%, black: 45%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Nge2 c6 5. d4 Qa5 
games: 105, white: 53%, black: 38%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Qc7 10. Ne5 Bd6 11. Qe2
games: 198, white: 48%, black: 44%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Bg4 5. d4 Bxe2 6. Ngxe2 Qd6 7. Bf4
games: 118, white: 51%, black: 41%, forced: 6, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Ne5 e6 9. Bf4 Nbd7 10. Nc4 Qd8 11. Nd6+ Bxd6 12. Bxd6
games: 557, white: 44%, black: 45%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Nbd7 10. Nd5
games: 1226, white: 43%, black: 46%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Nbd7 10. Qe2 Bb4 11. a3
games: 1226, white: 43%, black: 46%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Bb4 10. Qe2 Nbd7 11. a3
games: 1220, white: 43%, black: 46%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Nbd7 10. Qe2 Bb4 11. a3 Bxc3 
games: 554, white: 44%, black: 45%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Nbd7 10. Nd5 Qd8 
games: 1220, white: 43%, black: 46%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Bb4 10. Qe2 Nbd7 11. a3 Bxc3 
games: 1219, white: 43%, black: 46%, forced: 6, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Nbd7 10. Qe2 Bb4 11. a3 Bxc3 12. Bxc3 Qc7 
games: 1201, white: 43%, black: 46%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Nbd7 10. Qe2 Bb4 11. a3 Bxc3 12. Bxc3
games: 60, white: 66%, black: 30%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Bg4 5. d4 Bxe2 6. Ngxe2 Qa5 7. O-O Nc6 8. d5 O-O-O 9. Bd2
games: 1219, white: 43%, black: 46%, forced: 6, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Bb4 10. a3 Bxc3 11. Bxc3 Qc7 12. Qe2 Nbd7 
games: 1201, white: 43%, black: 46%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Bb4 10. Qe2 Nbd7 11. a3 Bxc3 12. Bxc3
games: 78, white: 53%, black: 32%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qc7 6. d4 Nf6 7. Ne5 Nbd7 8. Bf4
games: 504, white: 45%, black: 46%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Qc7 10. Qe2
games: 112, white: 51%, black: 41%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Ne5 e6 9. Bf4 Nbd7 10. Nc4 Qd8 11. Nd6+ Bxd6 
games: 6929, white: 43%, black: 47%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4
games: 1485, white: 42%, black: 45%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qc7 6. d4 Nf6 
