games: 1058, white: 52%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 Qxd5 6. Bc4 Qd8 7. O-O
games: 995, white: 52%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. exd5 Qxd5 6. Bc4 Qc5 
games: 1140, white: 51%, black: 40%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 c4 
games: 4922, white: 49%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Nf6 6. Bd3 cxd4 7. cxd4
games: 784, white: 54%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 5. Bd3 Nc6 6. Ngf3 Nf6 7. O-O
games: 1105, white: 51%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Qb6 
games: 1105, white: 51%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Qb6 
games: 1446, white: 50%, black: 40%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 a6 5. dxc5
games: 784, white: 54%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nc6 5. Bd3 Bxc5 6. Ngf3 Nf6 7. O-O
games: 263755, white: 47%, black: 43%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 
games: 5012, white: 48%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Bb5+ Nc6 
