games: 316, white: 59%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Nf3 Nbd7 8. Bd3 Bb4 9. O-O, forced: 1
games: 316, white: 59%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Nf3 Bb4 8. Bd3 Nbd7 9. O-O, forced: 1
games: 167, white: 66%, black: 30%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 cxd4 7. exd4 Bd7 8. a4 Be7 , forced: 1
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. c3 O-O 8. a4 Bd7 9. h3, forced: 1
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. c3 O-O 8. h3 Bd7 9. a4, forced: 2
games: 316, white: 59%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Bd3 Nbd7 8. Nf3 Bb4 9. O-O, forced: 1
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. c3 Bd7 8. h3 O-O 9. a4, forced: 3
games: 647, white: 58%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. a4, forced: 0
games: 316, white: 59%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Bd3 Bb4 8. Nf3 Nbd7 9. O-O, forced: 1
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. a4 O-O 8. c3 Bd7 9. h3, forced: 1
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. h3 O-O 8. c3 Bd7 9. a4, forced: 2
games: 654, white: 57%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. a4 Bd7 8. Nf3 Be7 , forced: 0
games: 278, white: 60%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Bd3 Bxf4 , forced: 3
games: 654, white: 57%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. Nf3 Bd7 8. a4 Be7 , forced: 1
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. c3 O-O 8. Nf3 Bd7 9. h3, forced: 1
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. c3 Bd7 8. Nf3 O-O 9. h3, forced: 2
games: 388, white: 59%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 c4 , forced: 0
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. c3 Bd7 8. h3 O-O 9. Nf3, forced: 3
games: 349, white: 59%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Bd3 Bxf4 9. exf4, forced: 3
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. Nf3 O-O 8. c3 Bd7 9. h3, forced: 1
games: 308, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. a4 O-O 8. h3, forced: 1
games: 308, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. h3 O-O 8. a4, forced: 2
games: 308, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. c3 O-O 8. h3, forced: 1
games: 135, white: 65%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 cxd4 7. exd4 Qb6 8. Nf3 Bd7 , forced: 2
games: 232, white: 59%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. a4 Bd7 8. h3 O-O , forced: 3
games: 232, white: 59%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Bd7 7. a4 Be7 8. h3 O-O , forced: 3
games: 232, white: 59%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. c3 Bd7 8. h3 O-O , forced: 3
games: 708, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Bd3, forced: 2
games: 227, white: 59%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. a3 Bd6 8. Nf3 Bxf4 9. exf4, forced: 3
games: 120, white: 67%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Bd6 7. Nf3 O-O 8. Bxa6, forced: 2
games: 258, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 cxd4 , forced: 1
games: 134, white: 65%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Ne5 Bxe5 9. Bxe5, forced: 3
