games: 3595, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. e3 Bg7 6. h4 h5 , forced: 2
games: 1045, white: 49%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nb5 Na6 6. h3 O-O , forced: 3
games: 236, white: 58%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 6. Bd3 O-O , forced: 2
games: 1045, white: 49%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5 Na6 5. e3 Bg7 6. h3 O-O , forced: 2
games: 3595, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. h4 Bg7 6. e3 h5 , forced: 1
games: 625, white: 51%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c5 , forced: 1
games: 236, white: 58%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 6. Bd3 O-O , forced: 2
games: 6214, white: 48%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 Bg7 5. Bh6 O-O , forced: 0
games: 940, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 6. Bd3 h5 , forced: 1
games: 940, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 h5 6. Bd3 Bg7 , forced: 2
games: 8478, white: 47%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Nf3, forced: 2
games: 8478, white: 47%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. e3, forced: 2
games: 940, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 6. Bd3 h5 , forced: 1
games: 315, white: 53%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Be2 O-O 6. h4 c6 , forced: 2
games: 1401, white: 49%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Be2, forced: 2
games: 90203, white: 48%, black: 45%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 , forced: 0
