games: 115, white: 18%, black: 20%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 h6 7. Bh4 Nbd7 8. e3 g5 
games: 115, white: 18%, black: 20%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 Nbd7 7. e3 h6 8. Bh4 g5 
games: 115, white: 18%, black: 20%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 h6 7. Bh4 Nbd7 8. e3 g5 9. Bg3
games: 1359, white: 32%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 Nbd7 7. Bd3 O-O 8. Nf3 c6 
games: 115, white: 18%, black: 20%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 Nbd7 7. e3 h6 8. Bh4 g5 9. Bg3
games: 1359, white: 32%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 Nbd7 7. Nf3 O-O 8. Bd3 c6 
games: 115, white: 18%, black: 20%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 h6 7. Bh4 Nbd7 8. e3 g5 9. Bg3 Ne4 
games: 115, white: 18%, black: 20%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 Nbd7 7. e3 h6 8. Bh4 g5 9. Bg3 Ne4 
games: 1359, white: 32%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Nbd7 6. e3 Be7 7. Bd3 O-O 8. Nf3 c6 
games: 87, white: 22%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 Nxd5 5. Nf3 c5 6. e3 cxd4 7. exd4 Nxc3 8. bxc3 Qc7 
