games: 106, white: 27%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Bd6 , forced: 0
games: 57, white: 26%, black: 38%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 b6 8. Bd3 Bb7 9. Ne5, forced: 0
games: 106, white: 27%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Bd6 , forced: 0
games: 57, white: 26%, black: 38%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 b6 8. Bd3 Bb7 9. Ne5, forced: 0
games: 1519, white: 35%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 , forced: 0
games: 482, white: 36%, black: 25%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3, forced: 0
games: 482, white: 36%, black: 25%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2, forced: 0
games: 56, white: 19%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Bd6 , forced: 0
games: 233, white: 33%, black: 24%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Bd6 , forced: 0
games: 108, white: 28%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3, forced: 0
games: 233, white: 33%, black: 24%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Bd6 , forced: 0
games: 81, white: 20%, black: 25%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 Nc6 8. Bb5 Be7 , forced: 0
games: 3429, white: 23%, black: 10%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. c4 O-O 6. Nc3 Nbd7 , forced: 0
games: 1924, white: 33%, black: 20%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 Nc6 7. c3, forced: 1
games: 81, white: 20%, black: 25%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 Nc6 8. Bb5 Be7 , forced: 0
games: 81, white: 20%, black: 25%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 Nc6 7. c3 O-O 8. Bb5 Be7 , forced: 1
games: 1710, white: 33%, black: 20%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 Nc6 , forced: 0
games: 1710, white: 33%, black: 20%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 Nc6 , forced: 0
games: 1710, white: 33%, black: 20%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 Nc6 7. c3 O-O , forced: 1
games: 431, white: 35%, black: 24%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 Be7 , forced: 0
games: 431, white: 35%, black: 24%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 Be7 , forced: 0
games: 431, white: 35%, black: 24%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 Be7 , forced: 0
games: 431, white: 35%, black: 24%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 Be7 , forced: 0
games: 431, white: 35%, black: 24%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 Be7 , forced: 0
games: 431, white: 35%, black: 24%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 Be7 , forced: 0
games: 103, white: 32%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 Nh5 7. Bg5, forced: 0
games: 103, white: 32%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 Nh5 7. Bg5, forced: 0
games: 103, white: 32%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 Nh5 7. Bg5, forced: 0
games: 70, white: 25%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 b6 8. Bd3 Bb7 , forced: 0
games: 103, white: 32%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 Nh5 7. Bg5, forced: 0
games: 1011, white: 32%, black: 19%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 , forced: 0
games: 70, white: 25%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 b6 8. Bd3 Bb7 , forced: 0
games: 51, white: 23%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 Nh5 7. Bg5 f6 8. Bh4, forced: 0
games: 103, white: 32%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 Nh5 7. Bg5, forced: 0
games: 1011, white: 32%, black: 19%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 , forced: 0
games: 51, white: 23%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 Nh5 7. Bg5 f6 8. Bh4, forced: 0
games: 103, white: 32%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 Nh5 7. Bg5, forced: 0
games: 51, white: 23%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 Nh5 7. Bg5 f6 8. Bh4, forced: 0
games: 51, white: 23%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 Nh5 7. Bg5 f6 8. Bh4, forced: 0
games: 51, white: 23%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 Nh5 7. Bg5 f6 8. Bh4, forced: 0
games: 51, white: 23%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 Nh5 7. Bg5 f6 8. Bh4, forced: 0
games: 52, white: 25%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 Nh5 7. Bg5 f6 , forced: 0
games: 52, white: 25%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 Nh5 7. Bg5 f6 , forced: 0
games: 52, white: 25%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 Nh5 7. Bg5 f6 , forced: 0
games: 155, white: 32%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 b6 , forced: 0
games: 52, white: 25%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 Nh5 7. Bg5 f6 , forced: 0
games: 155, white: 32%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 b6 , forced: 0
games: 52, white: 25%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 Nh5 7. Bg5 f6 , forced: 0
