games: 148, white: 30%, black: 17%, forced: 9, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3 Bxc3 11. Bxc3 Qc7 12. Ne5
games: 101, white: 43%, black: 32%, forced: 5, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7
games: 105, white: 40%, black: 29%, forced: 5, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. Nc3 Bg7 7. Be3 O-O 8. h3 Nc6 9. Be2 e5 
games: 105, white: 40%, black: 29%, forced: 6, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. h3 Bg7 7. Nc3 O-O 8. Be3 Nc6 9. Be2 e5 
games: 372, white: 37%, black: 20%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Ne5 Bf5 
games: 101, white: 43%, black: 32%, forced: 4, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7
games: 1362, white: 37%, black: 19%, forced: 1, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Bd2
games: 280, white: 43%, black: 26%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Bd2
games: 105, white: 40%, black: 29%, forced: 6, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. h3 Bg7 6. c4 Nb6 7. Nc3 O-O 8. Be3 Nc6 9. Be2 e5 
games: 300, white: 40%, black: 23%, forced: 4, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Bf5 5. Nf3 e6 6. O-O Be7 
games: 105, white: 40%, black: 29%, forced: 5, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb6 5. Nf3 g6 6. Nc3 Bg7 7. Be3 O-O 8. h3 Nc6 9. Be2 e5 
games: 105, white: 40%, black: 29%, forced: 6, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb6 5. Nf3 g6 6. h3 Bg7 7. Nc3 O-O 8. Be3 Nc6 9. Be2 e5 
games: 259, white: 44%, black: 27%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bg4 
games: 445, white: 39%, black: 21%, forced: 4, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 g6 5. Nf3 Bg7 6. O-O O-O 
games: 396, white: 41%, black: 23%, forced: 1, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Bf5 5. Nf3
games: 393, white: 41%, black: 23%, forced: 2, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Bf5 5. Nf3 e6 
games: 389, white: 42%, black: 24%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Bf5 
