games: 6111, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. exd5 Qxd5 6. Be3
games: 6108, white: 42%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. exd5 exd5 6. Be2
games: 6060, white: 53%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 5. cxd4 e6 
games: 6060, white: 53%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 Nf6 
games: 6008, white: 48%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nge7 
games: 5996, white: 51%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Bd6 5. O-O
games: 5864, white: 54%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Be7 
games: 5864, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 d4 
games: 5854, white: 41%, black: 51%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Qc2
games: 5783, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 e5 5. Bc2 d6 6. h3
games: 5783, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. Bc2 e5 6. h3
games: 5783, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. h3 e5 6. Bc2
games: 5783, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bd3 Nf6 5. Bc2 d6 6. h3
games: 5753, white: 45%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 Bf5 5. d4 cxd4 6. cxd4
games: 5708, white: 50%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. O-O
games: 5702, white: 44%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. Bc2 Bg4 
games: 5612, white: 55%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. O-O d6 
games: 5553, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. d3 Nf6 5. Nbd2 e6 6. Be2
games: 5553, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 d5 5. Nbd2 e6 6. Be2
games: 5553, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 e6 5. Be2 d5 6. Nbd2
games: 5553, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 e6 5. Nbd2 d5 6. Be2
games: 5553, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d3 d5 5. Nbd2 Nf6 6. Be2
games: 5553, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d3 Nf6 5. Be2 d5 6. Nbd2
games: 5553, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d3 Nf6 5. Nbd2 d5 6. Be2
games: 5549, white: 54%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 
games: 5459, white: 42%, black: 49%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 d6 5. Be2 g6 
games: 5459, white: 42%, black: 49%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d3 d6 5. Be2 Nf6 
