games: 349, white: 45%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 h6 5. Be3 Ng4 
games: 297, white: 45%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 h6 5. Bxf6 exf6 6. Bd3
games: 217, white: 45%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 a6 5. Qd2 Bg7 6. f3
games: 217, white: 45%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Bg5 a6 6. Qd2
games: 217, white: 45%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Bg5 Bg7 6. Qd2
games: 14, white: 50%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 a6 5. a4 Nc6 
games: 16, white: 50%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 a6 5. h3 e6 
games: 14, white: 50%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 c6 5. Bc4 b5 6. e5
games: 152, white: 48%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3 b5 6. a4
games: 536, white: 47%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 Nc6 6. h4
games: 86, white: 47%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Bxf6 exf6 6. f4
games: 236, white: 47%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 Qb6 6. Qc1
games: 807, white: 47%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Bg5 b5 6. Qd2
games: 5342, white: 47%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3 b5 6. Qd2
games: 3763, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 
games: 351, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Bc4
games: 606, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 a6 
games: 54, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Ng4 5. Bg5 c6 
games: 7884, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Bc4 Nc6 
games: 4638, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 O-O 6. Nf3
games: 4638, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Be2 O-O 6. Be3
games: 16119, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. h3 O-O 6. Bd3
games: 64, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 c6 5. Bg5 Nbd7 6. Bd3
games: 64, white: 46%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Nf3 Nbd7 6. Bd3
games: 137, white: 45%, black: 45%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 a6 6. g4
games: 31, white: 45%, black: 45%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3 Nbd7 6. Nge2
games: 31, white: 45%, black: 45%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Be3 a6 6. Nge2
games: 10, white: 40%, black: 40%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. a4 Bg4 
games: 175, white: 48%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Nbd7 5. Qd2 a6 
games: 168, white: 48%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. f3 a6 6. Bc4
games: 168, white: 48%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Be3 a6 6. Bc4
games: 168, white: 48%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Bc4 a6 6. Be3
games: 168, white: 48%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3 Bg7 6. Bc4
games: 7860, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 a6 
games: 16347, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Qd2
games: 622, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Bd3 Nc6 
games: 3159, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 c6 
games: 9632, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Qd2 b5 
games: 42622, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. f3 c6 6. Qd2
games: 42622, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Qd2 c6 6. f3
games: 787, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 c6 6. g4
games: 605, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Nf3 a6 6. Bd3
games: 605, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 a6 5. Nf3 Bg7 6. Bd3
games: 98, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Nbd7 5. Nf3 e5 6. Qd2
games: 605, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Be3 a6 6. Bd3
games: 605, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. Bd3 Bg7 6. Be3
games: 605, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. Be3 Bg7 6. Bd3
games: 42627, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Be3 c6 6. Qd2
games: 269, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 Nbd7 6. h4
games: 42627, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 Bg7 6. Qd2
games: 1747, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 Qa5 6. Qd2
games: 269, white: 47%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Be3 c6 6. h4
games: 717, white: 46%, black: 45%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. Bd3 Bg7 
games: 559, white: 46%, black: 45%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. a4 Bg7 
games: 94, white: 46%, black: 45%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Bg5 Qa5 
games: 1359, white: 46%, black: 45%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. h3 a6 6. Nf3
games: 1359, white: 46%, black: 45%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Nf3 a6 6. h3
