games: 44, white: 38%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. O-O Bg4 6. Re1 b5 
games: 214, white: 38%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. Nc3 f6 6. d3 Bd6 
games: 214, white: 38%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 Bd6 6. Nc3 f6 
games: 31, white: 38%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bc4 Nf6 5. Nc3 Nxe4 6. Nxe4 d5 
games: 1029, white: 38%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. O-O Bd7 6. c3 Nge7 7. h3
games: 1029, white: 38%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. c3 Bd7 6. O-O Nge7 7. h3
games: 1029, white: 38%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. h3 Bd7 6. c3 Nge7 7. O-O
games: 256, white: 37%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 f6 6. h3 Bd6 
games: 256, white: 37%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 Bd6 6. h3 f6 
games: 256, white: 37%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 f6 6. d3 Bd6 
games: 6438, white: 37%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. Re1 Nc5 7. Nxe5
games: 352, white: 37%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. c3 f5 6. d3 Nf6 7. O-O
