white: 53%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Bf4 Nc6 6. Nf3
white: 53%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. h3 Nf6 6. Bf4
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. Nf3 Nf6 6. h3
white: 53%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. Nc3 e5 6. cxd5
white: 53%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. Nc3 e5 6. Nxd5
white: 53%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5 Qxd5 6. Nf3
white: 53%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nc6 5. Bd3 e6 6. Bf4
white: 53%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. Bd3 e6 6. O-O
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. Bd3 a6 6. h3
white: 53%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. c3 e6 6. Bf4
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. h3 a6 6. Bd3
white: 53%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. Bd3 Nf6 6. O-O
white: 53%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. Bd3 Nc6 6. Bf4
white: 53%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. c3 Nf6 6. Bf4
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Bf5 5. c4 Nf6 6. Nc3
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Bd3 e6 6. Bg5
white: 53%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Nf3 e6 6. Bf4
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Bf4 Bg4 6. Qb3
white: 53%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Nf3 Nf6 6. Bf4
white: 53%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Bf4 Nf6 6. Nf3
white: 52%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Nf3
white: 52%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 g6 5. Ne2
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. Bd3
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. c3
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Nf3
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. f4
white: 52%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nc3 e6 5. Bd3
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. Nf3 e6 
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Nf3 Nf6 
white: 52%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. c3 a6 
white: 52%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. c3 e6 
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 dxc4 
white: 52%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. Nc3 e6 
white: 52%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nc3 Nc6 
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 dxc4 5. Nc3 Nf6 
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. Bd3 e6 
white: 52%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. Bd3 Nf6 
