white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nge7 5. O-O d6 
white: 57%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nf6 5. O-O d6 
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 Bg7 5. dxc5 a5 
white: 57%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 d6 5. Bb5 Bd7 
white: 57%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. O-O e6 
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 6. Nbd2
white: 57%, black: 21%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 d4 5. Bb5 Qb6 6. a4
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. d3 Bg4 5. Nbd2 e6 6. Be2
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. d3 Bg4 5. Nbd2 dxe4 6. dxe4
white: 57%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. d3 g6 5. Qe2 Bg7 6. h3
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Ng4 5. d4 cxd4 6. cxd4
white: 57%, black: 39%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. O-O e5 6. Na3
white: 57%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. O-O d5 6. e5
white: 57%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 d6 5. Nbd2 g6 6. d4
white: 57%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Qc2 d6 5. d4 e5 6. dxc5
white: 57%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 Bb4+ 6. Nc3
white: 57%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nge7 5. d4 cxd4 6. Nxd4
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Be7 5. O-O Nf6 6. d4
white: 57%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Be7 5. d4 d6 6. dxe5
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. d4 cxd4 6. cxd4
white: 57%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. d4 Be7 6. dxe5
white: 57%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nge7 5. O-O d6 6. d4
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nge7 5. O-O d6 6. Re1
white: 57%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nge7 5. d4 cxd4 6. O-O
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Bd6 5. O-O a6 6. Bc4
white: 57%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Bd6 5. d4 cxd4 6. O-O
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. cxd4 Nf6 6. Nc3
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 Bg7 5. dxc5 Qa5 6. Be3
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 a6 5. Bxc6 dxc6 6. h3
