games: 100, white: 63%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. O-O Nge7 8. a3 Nf5 9. b4 cxd4 
games: 30, white: 63%, black: 30%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. dxc5 Qc7 8. Qe2 Bxc5 9. b4 Bb6 
games: 41, white: 63%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. a3 a5 8. Bc2 Rc8 9. dxc5 Bxc5 
games: 100, white: 63%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nh6 7. O-O Nf5 8. a3 Bd7 9. b4 cxd4 
games: 100, white: 63%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. O-O Bd7 8. a3 Nf5 9. b4 cxd4 
games: 60, white: 63%, black: 28%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. O-O cxd4 8. cxd4 Ng6 9. a3 Be7 
games: 100, white: 63%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. O-O Nf5 8. a3 Bd7 9. b4 cxd4 
games: 29, white: 62%, black: 34%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 f6 7. Nh4
games: 54, white: 62%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 cxd4 7. O-O Nge7 8. a3
games: 16, white: 62%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nh6 7. a3 Nf5 8. g4
games: 54, white: 62%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. O-O cxd4 8. a3
games: 54, white: 62%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. a3 cxd4 8. O-O
games: 16, white: 62%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. a3 Nf5 8. g4
games: 1020, white: 62%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 cxd4 7. O-O dxc3 8. Nxc3 Bd7 9. a3
games: 140, white: 62%, black: 32%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 cxd4 7. O-O dxc3 8. Nxc3 Nge7 9. h4
