games: 437, white: 55%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Qf3 Nb6 6. Bb3
games: 34, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Bg2 Nb6 6. Nf3
games: 437, white: 55%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Qf3 e6 5. Bc4 Nb6 6. Bb3
games: 2635, white: 55%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nb6 6. Bb3 c4 
games: 2237, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nb6 6. Bb3 d5 
games: 130, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nb6 6. Be2 d6 
games: 2635, white: 55%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nb6 6. Bb3 c4 
games: 2237, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nb6 6. Bb3 d5 
games: 130, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nb6 6. Be2 d6 
games: 245, white: 55%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Qf3 Nb6 6. Bb3 Nc6 
games: 97, white: 55%, black: 43%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Qf3 Nb6 6. Bb3 c4 
games: 108, white: 55%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 d6 5. exd6 Qxd6 6. Bg2 e6 
games: 108, white: 55%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 d6 5. exd6 e6 6. Bg2 Qxd6 
games: 108, white: 55%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 d6 5. Bg2 e6 6. exd6 Qxd6 
games: 245, white: 55%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Qf3 e6 5. Bc4 Nb6 6. Bb3 Nc6 
games: 97, white: 55%, black: 43%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Qf3 e6 5. Bc4 Nb6 6. Bb3 c4 
games: 33, white: 54%, black: 45%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Qf3 Nc7 
games: 272, white: 54%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. c4
