games: 623, white: 35%, black: 23%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. e3 c6 6. Qc2 Bd6 7. g4 dxc4 
games: 142, white: 44%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 a6 6. Qc2 Nbd7 7. Bd2
games: 2294, white: 32%, black: 23%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Nbd7 6. Qc2 Bd6 7. g4
games: 139, white: 44%, black: 11%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Be7 6. Bd3 O-O 
games: 512, white: 36%, black: 23%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Bb4 5. e3 O-O 6. Bd2 b6 7. cxd5 exd5 
games: 186, white: 42%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Nbd7 6. Qb3 Be7 7. e3
games: 323, white: 39%, black: 8%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Be7 6. e3 Nbd7 7. Bd3 O-O 
games: 1909, white: 32%, black: 21%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Bg5
games: 623, white: 35%, black: 23%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Qc2 c6 6. e3 Bd6 7. g4 dxc4 
games: 2294, white: 32%, black: 23%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Bd6 6. Qc2 Nbd7 7. g4
games: 142, white: 44%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. e3 c6 6. Qc2 a6 7. Bd2
games: 186, white: 42%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Qb3 Nbd7 6. Bg5 Be7 7. e3
games: 323, white: 39%, black: 8%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Be7 6. e3 O-O 7. Bd3 Nbd7 
games: 142, white: 44%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Qc2 c6 6. e3 a6 7. Bd2
games: 186, white: 42%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Bg5 c6 6. Qb3 Be7 7. e3
games: 2294, white: 32%, black: 23%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. e3 c6 6. Qc2 Bd6 7. g4
games: 323, white: 39%, black: 8%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Bg5 c6 6. e3 Be7 7. Bd3 O-O 
games: 2294, white: 32%, black: 23%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Qc2 c6 6. e3 Bd6 7. g4
games: 237, white: 40%, black: 23%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Bb4 5. Qa4+ Nc6 6. a3
games: 856, white: 33%, black: 20%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Qb3
games: 231, white: 40%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Bb4 5. cxd5 exd5 6. Bf4
games: 1568, white: 32%, black: 19%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. cxd5
